name,MRR,churnProbability,supportTickets,lastActivityDays,contractLengthMonths
Stellar Dynamics,499.00,0.02,1,5,24
Apex Solutions,120.00,0.05,4,12,12
Global Tech Co.,1500.50,0.01,0,1,36
Horizon Labs,59.99,0.15,8,45,6
Zenith Holdings,249.90,0.08,2,20,18
Aqua Innovations,30.00,0.35,15,90,3
Redstone Energy,850.75,0.03,3,7,24
Pylon Systems,19.99,0.60,22,110,1
Terra Flora,99.00,0.10,5,30,12
Comet Analytics,650.00,0.04,1,15,36
Aurora Systems,1250.00,0.01,0,3,36
Blue Horizon,199.99,0.07,3,15,12
Cardinal Dynamics,49.00,0.25,10,60,6
Delta Prime Inc.,500.50,0.04,2,8,24
Echo Ventures,25.99,0.55,18,95,1
Falcon Group,880.00,0.02,1,10,36
Gamma Core,15.00,0.75,25,120,1
Hydra Solutions,349.90,0.12,6,35,18
Indigo Corp,150.00,0.09,4,22,12
Juno Labs,2200.00,0.01,0,1,36
Kilo Byte Co.,75.00,0.30,12,75,3
Lima Tech,99.99,0.18,7,40,6
Mountain Peak,1800.00,0.03,1,5,24
Nova Star,39.99,0.40,15,85,3
Orion Pulse,620.50,0.05,3,18,18
Phoenix Ascend,19.99,0.65,28,150,1
Quantum Leap,135.00,0.11,5,28,12
Rogue Stream,950.00,0.02,2,4,24
Sierra Matrix,299.00,0.06,4,14,18
Titan Works,55.00,0.38,13,80,6
Uranus Digital,2500.00,0.005,0,2,36
Vortex Labs,110.00,0.16,8,48,12
Warp Speed Dev,17.50,0.70,30,145,1
Xenon Solutions,450.00,0.08,5,20,24
Yotta Systems,88.99,0.20,9,55,6
Zeta Dynamics,1100.00,0.03,1,9,36
Gold Standard Ltd,65.00,0.33,11,70,3
Silver Lining Co.,210.00,0.07,3,17,12
Bronze Age Dev,1450.00,0.015,0,6,24
Ironclad Security,24.00,0.50,20,105,1
Zenith Solutions,750,0.1509,2,7,12
Apex Dynamics,1520,0.0521,0,3,24
VertaTech Corp,350,0.4287,15,45,6
Nova Global,4800,0.0211,1,2,24
Aura Analytics,120,0.8560,22,88,3
Helix Systems,950,0.1190,4,14,12
Core Labs,280,0.5513,18,60,6
Titan Group Inc.,3100,0.0788,0,1,24
Edge Consulting,45,0.9122,25,89,3
Prime Innovations,1850,0.0355,3,9,12
Stellar Logic,550,0.3340,11,35,6
Quantum Data,780,0.1995,7,11,12
Echo Stream,3900,0.0150,0,5,24
Fusion Works,100,0.7801,20,75,3
Grid Core,2100,0.0415,2,4,12
Harbor Point,620,0.2566,9,28,6
Ikon Media,420,0.4870,16,52,6
Joule Energy,2500,0.0632,1,1,24
Kinetix Systems,90,0.8999,24,85,3
Locus Dynamics,1350,0.1001,5,18,12
Meridian Group,320,0.6125,19,68,6
Nexus Solutions,4100,0.0290,0,3,24
Orion Tech,140,0.7208,21,80,3
Pivot Global,680,0.2244,6,16,12
Quasar Consulting,240,0.6550,17,58,6
Rive Solutions,1600,0.0880,3,7,12
Sierra Corp,4900,0.0195,0,2,24
Transverse Labs,110,0.8251,23,82,3
Unitus Dynamics,880,0.1352,4,10,12
Volition Group,200,0.7010,19,77,3
Warp Innovations,3700,0.0505,1,4,24
Xenia Global,590,0.2889,8,22,6
Yield Analytics,170,0.7554,20,85,3
Zest Systems,1950,0.0711,3,6,12
Alto Labs,70,0.9501,25,90,3
Beacon Tech,1150,0.0919,5,15,12
Clarity Solutions,260,0.5888,17,62,6
Delta Core,4300,0.0175,0,1,24
Evolve Group,150,0.6805,21,79,3
Flow Dynamics,720,0.2050,7,13,12
Gamma Innovations,300,0.5209,16,55,6
Horizon Data,3400,0.0333,1,5,24
Indigo Stream,130,0.8012,22,81,3
Javelin Works,1050,0.1287,5,17,12
Key Logic,460,0.4502,14,48,6
Lunar Point,2200,0.0555,2,6,12
Matrix Solutions,80,0.9304,24,87,3
Newform Tech,1750,0.0801,3,8,12
Octave Global,290,0.5990,18,65,6
Penta Labs,4700,0.0105,0,3,24
Quip Systems,95,0.8770,23,83,3
Realm Group,1450,0.0950,4,12,12
Skye Consulting,380,0.5015,15,50,6
Tundra Dynamics,2700,0.0444,1,4,24
Upward Innovations,160,0.7621,20,78,3
Vertex Corp,650,0.2399,8,19,12
Whisper Stream,50,0.9801,25,90,3
Xylo Data,1900,0.0655,3,9,12
Yonder Labs,330,0.5777,16,59,6
Zuni Group,4400,0.0125,0,2,24
Aerial Dynamics,125,0.7402,21,84,3
Bolt Solutions,810,0.1880,6,14,12
Cedar Tech,230,0.6305,17,66,6
Daybreak Global,3600,0.0255,1,5,24
Ember Analytics,115,0.8440,22,86,3
Frost Systems,1100,0.1101,4,11,12
Gala Labs,400,0.4700,15,49,6
Highroad Group,3050,0.0388,0,3,24
Inspire Consulting,135,0.7909,23,83,3
Jupiter Innovations,990,0.1450,5,16,12
Kilo Logic,370,0.5401,13,51,6
Limitless Data,2600,0.0588,2,7,12
Mover Stream,65,0.9602,24,88,3
Neo Works,1550,0.0850,3,10,12
Orbit Point,285,0.6015,18,67,6
Parallel Solutions,480,0.4305,14,47,6
Quiet Tech,4050,0.0201,0,1,24
Rarity Global,105,0.8109,22,81,3
Sphere Corp,1250,0.1055,4,13,12
Truewave Labs,360,0.5601,15,54,6
Unique Dynamics,4500,0.0166,0,4,24
Vista Group,145,0.7305,21,80,3
Wildfire Innovations,790,0.1705,6,15,12
Xenith Global,250,0.6409,17,63,6
YourSight Analytics,3200,0.0309,1,6,24
Zoom Systems,85,0.9400,24,89,3
Azure Solutions,1300,0.1088,5,18,12
Bright Consulting,310,0.5302,14,56,6
Comet Dynamics,4600,0.0111,0,2,24
Driven Labs,155,0.7107,20,76,3
Epsilon Tech,920,0.1222,4,11,12
Frame Innovations,355,0.4905,13,44,6
Genesis Group,2050,0.0601,2,8,12
Harmony Data,95,0.9205,23,85,3
Incline Stream,1800,0.0750,3,9,12
Journey Works,390,0.5101,12,53,6
Kinetic Logic,430,0.4607,11,46,6
Lagoon Point,2350,0.0488,1,5,24
Manifest Solutions,75,0.9708,25,90,3
Northstar Global,1650,0.0822,4,14,12